EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1010-1,21-07-2010,21-07-2010,47.95,21-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-2,23-07-2016,23-07-2016,48.05,23-07-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-3,26-07-2016,26-07-2016,48,26-07-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-4,11-08-2017,13-08-2017,48.95,12-08-2017,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1012-1,21-07-2010,21-07-2010,48.1,21-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-1,11-06-2013,11-06-2013,47.73,11-06-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-2,31-08-2015,01-09-2015,48.09,31-08-2015,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1013-3,23-07-2016,26-07-2016,48.02,24-07-2016,1,,,,4,2,3,Flood
INDOFLOODS-gauge-1013-4,11-08-2017,13-08-2017,48.88,13-08-2017,1,,,,3,3,1,Severe Flood
INDOFLOODS-gauge-1013-5,03-07-2020,03-07-2020,47.76,03-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-6,12-07-2020,13-07-2020,48.16,12-07-2020,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1013-7,21-07-2020,22-07-2020,48.32,22-07-2020,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1013-8,15-09-2020,15-09-2020,47.94,15-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-9,24-09-2020,24-09-2020,48,24-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-1,01-07-2017,02-07-2017,65.47,01-07-2017,2,,,,2,1,2,Flood
INDOFLOODS-gauge-1018-2,10-07-2017,12-07-2017,65.68,10-07-2017,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1018-3,10-08-2017,13-08-2017,65.85,13-08-2017,1,,,,4,4,1,Flood
INDOFLOODS-gauge-1018-4,24-06-2018,24-06-2018,65.62,24-06-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-5,01-07-2018,05-07-2018,65.93,05-07-2018,1,,,,5,5,1,Flood
INDOFLOODS-gauge-1018-6,01-08-2018,08-08-2018,65.79,02-08-2018,1,,,,8,2,7,Flood
INDOFLOODS-gauge-1018-7,13-07-2020,13-07-2020,65.5,13-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-8,21-07-2020,21-07-2020,65.5,21-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-9,10-08-2020,12-08-2020,65.5,11-08-2020,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1018-10,24-09-2020,24-09-2020,65.47,24-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1020-1,27-10-2010,27-10-2010,13.41,27-10-2010,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1020-2,11-08-2011,15-08-2011,12.69,14-08-2011,1,,,,5,4,2,Flood
INDOFLOODS-gauge-1020-3,18-08-2011,20-08-2011,12.22,19-08-2011,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1042-1,21-07-2010,21-07-2010,47.82,21-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1042-2,22-10-2010,22-10-2010,48.21,22-10-2010,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-1,02-06-2012,02-06-2012,65.8,02-06-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-2,07-06-2012,07-06-2012,57.4,07-06-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-3,12-06-2012,17-06-2012,131.4,17-06-2012,1,,,,6,6,1,Severe Flood
INDOFLOODS-gauge-1050-4,23-06-2012,23-06-2012,95.6,23-06-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-5,25-06-2012,28-06-2012,175.6,27-06-2012,1,,,,4,3,2,Severe Flood
INDOFLOODS-gauge-1050-6,05-07-2012,07-07-2012,175.6,06-07-2012,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1050-7,11-07-2012,11-07-2012,36.8,11-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-8,14-07-2012,14-07-2012,42.6,14-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-9,16-07-2012,16-07-2012,125.6,16-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-10,23-07-2012,24-07-2012,54.6,23-07-2012,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1050-11,18-08-2012,18-08-2012,51.6,18-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-12,22-08-2012,22-08-2012,56.2,22-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-13,24-08-2012,24-08-2012,153.8,24-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-14,15-09-2012,15-09-2012,119.6,15-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-15,17-09-2012,17-09-2012,80.6,17-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1050-16,19-09-2012,20-09-2012,153.8,19-09-2012,1,,,,2,1,2,Severe Flood
